,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
846,Manufactured on land,Built in 2000,"Central, none","Central air, none",No covered parking,,$33 price/sqft,2.5% buyers agency fee,47446899
847,Single family residence,Built in 1959,Electric,"Ceiling fan(s), central air, electric",Open parking,"6,005 sqft",$383 price/sqft,2.5% buyers agency fee,308874667
848,Single family residence,Built in 1959,Central,"Ceiling fan(s), central air",1 Carport space,"6,210 sqft",$363 price/sqft,3% buyers agency fee,43181553
849,Single family residence,Built in 1988,Central,Central air,1 Attached garage space,0.36 Acres,$162 price/sqft,2.5% buyers agency fee,45891610
850,Single family residence,Built in 1985,"Central, electric",Central air,Converted garage,0.29 Acres,$187 price/sqft,2% buyers agency fee,47682995
851,Single family residence,Built in 1965,"Central, electric",Ceiling fan(s),1 Attached garage space,"10,454 sqft",$254 price/sqft,3% buyers agency fee,45493827
852,Single family residence,Built in 2015,"Central, electric",Central air,1 Attached garage space,0.29 Acres,$215 price/sqft,2.5% buyers agency fee,130952287
853,Single family residence,Built in 2017,"Central, electric","Electric, central air",2 Garage spaces,0.45 Acres,$155 price/sqft,2.5% buyers agency fee,123460532
854,Single family residence,Built in 2000,Central,Central air,2 Garage spaces,0.56 Acres,$170 price/sqft,3% buyers agency fee,43722239
855,Singlefamily,Built in 2016,Forced air,Central,1 Parking space,"10,585 sqft",$212 price/sqft,,45207219
856,Single family residence,Built in 2005,Central,Central air,2 Attached garage spaces,"10,018 sqft",$231 price/sqft,2.5% buyers agency fee,70743081
857,Single family residence,Built in 2006,"Central, heat pump",Central air,2 Garage spaces,5.01 Acres,$338 price/sqft,3% buyers agency fee,52952061
858,Single family residence,Built in 1979,Central,Central air,1 Attached garage space,"5,227 sqft",$225 price/sqft,2.5% buyers agency fee,47599851
859,Singlefamily,Built in 1996,Central,"Refrigerated, central air",No data,"5,227 sqft",$137 price/sqft,,27453769
860,Single family residence,Built in 1966,"Central, none, other",Wall/window unit(s),2 Garage spaces,"6,751 sqft",$152 price/sqft,2.5% buyers agency fee,26318670
861,Single family residence,Built in 1991,Natural gas,Electric,2 Garage spaces,"5,776 sqft",$96 price/sqft,2.25% buyers agency fee,28316718
862,Single family residence,Built in 1986,Electric,Central air,2 Attached garage spaces,"7,187 sqft",$187 price/sqft,2.25% buyers agency fee,28890959
863,Single family residence,Built in 1958,"Central, natural gas",Central air,1 Attached garage space,"8,015 sqft",$208 price/sqft,2.5% buyers agency fee,29066454
864,Single family residence,,Central,"Central air, electric",1 Parking space,0.60 Acres,$131 price/sqft,2.75% buyers agency fee,90389487
865,Single family residence,Built in 2015,Electric,"Central air, electric",2 Covered parking spaces,"5,009 sqft",$174 price/sqft,2.5% buyers agency fee,96506053
866,Single family residence,Built in 1926,"Central, electric","Ceiling fan(s), central air",Open parking,"6,272 sqft",$198 price/sqft,3% buyers agency fee,26118110
867,Single family residence,Built in 2001,Electric,Central air,3 Attached garage spaces,0.48 Acres,$182 price/sqft,2.25% buyers agency fee,67632165
868,Single family residence,Built in 1965,"Central, natural gas","Ceiling fan(s), central air, electric",2 Attached garage spaces,"9,888 sqft",$168 price/sqft,3% buyers agency fee,28938816
869,Single family residence,Built in 1984,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,"7,731 sqft",$143 price/sqft,3% buyers agency fee,28471534
870,Single family residence,Built in 1994,"Electric, natural gas","Electric, ceiling fan(s)",2 Attached garage spaces,"8,359 sqft",$135 price/sqft,3% buyers agency fee,28485964
871,Single family residence,Built in 1985,"Central, electric","Ceiling fan(s), central air, electric",2 Attached garage spaces,"7,579 sqft",$195 price/sqft,3% buyers agency fee,29215938
872,Single family residence,Built in 2002,Natural gas,"Electric, ceiling fan(s)",1 Attached garage space,"10,497 sqft",$140 price/sqft,3% buyers agency fee,55479172
873,Single family residence,Built in 1958,Central,Ceiling fan(s),None,"5,227 sqft",$182 price/sqft,3% buyers agency fee,53078038
874,Single family residence,Built in 1968,Central,"Ceiling fan(s), central air",2 Garage spaces,0.29 Acres,$175 price/sqft,3% buyers agency fee,26589553
875,Single family residence,Built in 2013,Central,"Ceiling fan(s), central air",2 Attached garage spaces,"5,749 sqft",$197 price/sqft,3% buyers agency fee,120743736
876,Single family residence,Built in 1966,Electric,"Electric, 1 unit",2 Garage spaces,"10,676 sqft",$139 price/sqft,3.00% buyers agency fee,58200794
877,Single family residence,Built in 1984,"Central, natural gas",Central air,2 Garage spaces,"9,016 sqft",$112 price/sqft,3% buyers agency fee,26152086
878,Single family residence,Built in 2004,"Central, electric","Ceiling fan(s), central air, electric",2 Attached garage spaces,"7,405 sqft",$151 price/sqft,3% buyers agency fee,83734138
879,Single family residence,Built in 2022,Central,Central air,2 Attached garage spaces,"8,054 sqft",$585 price/sqft,,29421289
880,Single family residence,Built in 1962,"Central, gas",Central air,1 Garage space,"7,840 sqft",$118 price/sqft,,28826144
881,Singlefamily,Built in 1956,Central,Evaporative cooling,No data,"6,098 sqft",$81 price/sqft,,27483483
882,Single family residence,Built in 1977,"Central, natural gas",Central air,1 Attached garage space,"6,534 sqft",$160 price/sqft,2.50% buyers agency fee,26184125
883,Manufactured home,Built in 1997,"Central, electric","Central air, two window/wall",2 Garage spaces,,$117 price/sqft,3% buyers agency fee,193862406
884,Singlefamily,Built in 2015,Central,Refrigerated,No data,"5,227 sqft",$154 price/sqft,,124847552
885,Single family residence,Built in 2004,"Central, electric","Ceiling fan(s), central air",None,"5,880 sqft",$140 price/sqft,3% buyers agency fee,65066393
886,Single family residence,Built in 2020,Central,Central air,2 Garage spaces,"6,873 sqft",$232 price/sqft,,331625825
887,Single family residence,Built in 2020,"Central, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"10,018 sqft",$159 price/sqft,3% buyers agency fee,338042104
888,Single family residence,Built in 1989,"Central, electric",Central air,2 Garage spaces,"6,098 sqft",$160 price/sqft,,28816234
889,Single family residence,Built in 1979,Gas,Central air,2 Garage spaces,"6,098 sqft",$158 price/sqft,,28801654
890,Single family residence,Built in 1973,"Central, natural gas",Central air,"None, converted garage","5,488 sqft",$186 price/sqft,3% buyers agency fee,26337956
891,Townhouse,Built in 2021,Electric,Gas,Attached garage,"2,750 sqft",$204 price/sqft,3% buyers agency fee,337097387
892,Single family residence,Built in 1982,"Electric, propane",Electric,2 Garage spaces,1.58 Acres,$192 price/sqft,2% buyers agency fee,29379527
893,Single family residence,Built in 1993,"Central, electric","Central air, electric, 1 unit",2 Attached garage spaces,0.28 Acres,$192 price/sqft,3.00% buyers agency fee,26555547
894,Single family residence,Built in 2005,Electric,Electric,2 Attached garage spaces,"5,035 sqft",$139 price/sqft,3% buyers agency fee,70314069
895,Single family residence,Built in 1955,Central,"Central air, electric, window unit(s)",2 Garage spaces,"8,537 sqft",$182 price/sqft,3% buyers agency fee,27160550
896,Single family residence,Built in 1926,Central,"Central air, electric, gas",2 Garage spaces,"8,250 sqft",$160 price/sqft,3.00% buyers agency fee,52088512
897,Single family residence,Built in 1973,"Central, electric",Central air,2 Garage spaces,"8,712 sqft",$114 price/sqft,,28853160
898,Townhouse,Built in 1978,Electric,Electric,2 Attached garage spaces,"1,685 sqft",$122 price/sqft,3% buyers agency fee,28303931
899,Single family residence,Built in 1965,"Central, electric",Central air,Driveway,"9,234 sqft",$363 price/sqft,,29515279
900,Single family residence,Built in 1972,Natural gas,Central air,2 Attached garage spaces,0.27 Acres,$230 price/sqft,2.25% buyers agency fee,26596976
901,Single family residence,Built in 1956,Central,Central air,2 Attached garage spaces,0.28 Acres,$150 price/sqft,3% buyers agency fee,28987936
902,Single family residence,Built in 1994,Electric,"Central air, electric",2 Garage spaces,2.95 Acres,$138 price/sqft,3% buyers agency fee,78835990
903,Single family residence,Built in 2015,"Electric, natural gas","Electric, ceiling fan(s)",2 Attached garage spaces,"7,113 sqft",$131 price/sqft,3% buyers agency fee,246927292
904,Single family residence,Built in 1944,"Central, electric",Central air,2 Garage spaces,"10,367 sqft",$328 price/sqft,3% buyers agency fee,26204891
905,Single family residence,Built in 2010,"Central, electric, multiple heating units","Central air, electric, 2 units",2 Attached garage spaces,0.42 Acres,$125 price/sqft,3.00% buyers agency fee,2070104303
906,Singlefamily,Built in 2019,Central,Central air,No data,"6,534 sqft",$171 price/sqft,,243972215
907,Single family residence,Built in 2014,"Central, natural gas, zoned","Ceiling fan(s), central air, electric, zoned",3 Attached garage spaces,0.37 Acres,$441 price/sqft,3% buyers agency fee,122952395
908,Single family residence,Built in 2012,Electric,Electric,2 Attached garage spaces,"7,130 sqft",$137 price/sqft,3% buyers agency fee,72059380
909,Single family residence,Built in 1999,Natural gas,Central air,2 Attached garage spaces,"6,564 sqft",$194 price/sqft,3% buyers agency fee,29315755
910,Single family residence,Built in 1952,Central,No data,1 Attached garage space,"7,015 sqft",$117 price/sqft,,50704704
911,Singlefamily,Built in 2019,Central,"Refrigerated, ceiling fan(s)",No data,"4,791 sqft",$159 price/sqft,,251429872
912,Single family residence,Built in 1995,Natural gas,"Electric, attic fan, ceiling fan(s)",3 Garage spaces,0.25 Acres,$100 price/sqft,3% buyers agency fee,26526940
913,Single family residence,Built in 1930,Central,"Central air, attic fan",2 Parking spaces,"8,250 sqft",$106 price/sqft,3.00% buyers agency fee,52103563
914,Single family residence,Built in 1982,"Central, fireplace(s), natural gas",Central air,2 Attached garage spaces,2.19 Acres,$166 price/sqft,2.5% buyers agency fee,53310009
915,Single family residence,Built in 1998,"Wood stove, other",Window unit(s),2 Carport spaces,1.58 Acres,$88 price/sqft,3% buyers agency fee,2060963443
916,Single family residence,Built in 1960,"Central, natural gas",Central air,2 Attached garage spaces,0.29 Acres,$222 price/sqft,3.00% buyers agency fee,26307896
917,Single family residence,Built in 1959,Other,Other,No data,0.46 Acres,$208 price/sqft,3% buyers agency fee,27634911
918,Manufactured home,Built in 1998,"Central, electric",Central air,2 Garage spaces,,$157 price/sqft,3% buyers agency fee,84000760
919,Single family residence,Built in 1997,Natural gas,"Electric, ceiling fan(s)",2 Garage spaces,"7,805 sqft",$151 price/sqft,3% buyers agency fee,27573885
920,Single family residence,Built in 1996,"Central, electric","Ceiling fan(s), central air",2 Attached garage spaces,"9,452 sqft",$167 price/sqft,3% buyers agency fee,26474984
921,Single family residence,Built in 1948,"Central, electric",Central air,1 Garage space,"10,018 sqft",$129 price/sqft,3% buyers agency fee,26254926
922,Single family residence,Built in 1969,Central,Central air,2 Attached garage spaces,No data,$147 price/sqft,,87571303
923,Single family residence,Built in 2022,Central/electric,Central electric,Open parking,"6,316 sqft",$155 price/sqft,,2060705590
924,Single family residence,Built in 2005,Central,"Ceiling fan(s), central air",2 Attached garage spaces,"5,749 sqft",$126 price/sqft,3% buyers agency fee,70570466
925,Single family residence,Built in 1997,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,"7,827 sqft",$198 price/sqft,3% buyers agency fee,28764996
926,Townhouse,Built in 2017,"Electric, zoned","Electric, zoned, ceiling fan(s)",Attached garage,"2,227 sqft",$195 price/sqft,3% buyers agency fee,249894117
927,Single family residence,Built in 1980,Electric,"Electric, ceiling fan(s)",2 Attached garage spaces,"6,825 sqft",$141 price/sqft,2.5% buyers agency fee,28231628
928,Single family residence,Built in 1975,Electric,Electric,2 Attached garage spaces,0.50 Acres,$120 price/sqft,2.5% buyers agency fee,27558860
929,Single family residence,Built in 2001,Central,Central air,No data,6.21 Acres,$234 price/sqft,3.00% buyers agency fee,2144743308
930,Single family residence,Built in 1967,"Central, natural gas","Ceiling fan(s), central air, electric",2 Attached garage spaces,"10,280 sqft",$119 price/sqft,2% buyers agency fee,29148580
931,Single family residence,Built in 1984,"Central, natural gas",Central air,2 Garage spaces,0.33 Acres,$174 price/sqft,3% buyers agency fee,26404236
932,Single family residence,Built in 1935,"Central, natural gas",Central air,None,"2,134 sqft",$222 price/sqft,2.5% buyers agency fee,26210389
933,Single family residence,Built in 2022,"Central, electric",Central air,1 Attached garage space,0.25 Acres,$167 price/sqft,3% buyers agency fee,97701866
934,Single family residence,Built in 1975,Electric,Electric,2 Garage spaces,0.31 Acres,$118 price/sqft,3% buyers agency fee,27594287
935,Single family residence,Built in 1960,"Central, other",Central air,Garage,"6,272 sqft",$147 price/sqft,2.5% buyers agency fee,26228301
936,Single family residence,Built in 1998,Central/electric,"Central electric, zoned-2",3 Garage spaces,4.60 Acres,$216 price/sqft,,231975303
937,Single family residence,Built in 1978,Electric,Electric,1 Garage space,0.37 Acres,$110 price/sqft,2% buyers agency fee,28193181
938,Single family residence,Built in 1993,Central,Central air,2 Attached garage spaces,"7,187 sqft",$140 price/sqft,3% buyers agency fee,29266817
939,Single family residence,Built in 2012,"Central, fireplace(s), heat pump","Ceiling fan(s), central air, electric",2 Attached garage spaces,0.29 Acres,$259 price/sqft,,119631692
940,Single family residence,Built in 1987,"Central, electric",Central air,2 Attached garage spaces,"6,490 sqft",$193 price/sqft,3% buyers agency fee,29246850
941,Single family residence,Built in 1997,Central,Central air,Garage,"8,197 sqft",$266 price/sqft,,29469952
942,Condominium,Built in 1979,Central,Central air,1 Carport space,,$287 price/sqft,3% buyers agency fee,26685513
943,Singlefamily,Built in 1965,Central,Refrigerated,No data,No data,$143 price/sqft,,27407048
944,Single family residence,Built in 1997,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,"7,492 sqft",$137 price/sqft,3% buyers agency fee,28530802
945,Single family residence,Built in 2014,"Central, natural gas","Central air, electric",2 Garage spaces,"8,537 sqft",$205 price/sqft,,120769738
946,Single family residence,Built in 1973,"Central, electric","Ceiling fan(s), central air, electric",2 Attached garage spaces,0.26 Acres,$169 price/sqft,2.5% buyers agency fee,26957117
947,Single family residence,Built in 2002,"Central, electric","Ceiling fan(s), central air, electric",2 Garage spaces,0.31 Acres,$149 price/sqft,2.5% buyers agency fee,26835326
948,Singlefamily,Built in 1993,Central,Evaporative cooling,No data,0.72 Acres,$91 price/sqft,,27423679
949,Single family residence,Built in 1975,Electric,Central air,2 Carport spaces,0.34 Acres,$109 price/sqft,2.5% buyers agency fee,78824672
950,Single family residence,Built in 1983,Natural gas,"Ceiling fan(s), central air",2 Attached garage spaces,0.37 Acres,$214 price/sqft,3% buyers agency fee,29195130
951,Single family residence,Built in 1953,Central,"Ceiling fan(s), central air",2 Garage spaces,"9,365 sqft",$166 price/sqft,3.000% buyers agency fee,27315652
952,Single family residence,Built in 2010,"Central, natural gas","Central air, electric",2 Attached garage spaces,"8,276 sqft",$199 price/sqft,3% buyers agency fee,2100971670
953,Single family residence,Built in 1942,Central,Central air,1 Attached garage space,"8,842 sqft",$279 price/sqft,3% buyers agency fee,29078751
954,Single family residence,Built in 2012,"Central, natural gas","Attic fan, ceiling fan(s), central air, electric",3 Attached garage spaces,0.33 Acres,$263 price/sqft,3% buyers agency fee,119834961
955,Single family residence,Built in 1975,"Central, natural gas","Ceiling fan(s), central air, electric",2 Garage spaces,0.36 Acres,$190 price/sqft,2.5% buyers agency fee,27260867
956,Single family residence,Built in 1977,Electric,Electric,2 Attached garage spaces,"10,624 sqft",$137 price/sqft,3% buyers agency fee,28188092
957,Single family residence,Built in 2019,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,"4,599 sqft",$178 price/sqft,3% buyers agency fee,329225793
958,Single family residence,Built in 2017,"Central, electric",Central air,2 Garage spaces,"6,969 sqft",$133 price/sqft,3% buyers agency fee,250994925
959,Single family residence,Built in 2008,"Central, heat pump, electric",Central air,2 Garage spaces,"4,399 sqft",$209 price/sqft,3% buyers agency fee,89614624
960,Single family residence,Built in 1984,"Central, heat pump, electric","13-15 seer ax, ceiling fan(s), two central",2 Attached garage spaces,0.40 Acres,$192 price/sqft,3% buyers agency fee,26171753
961,Multi family,Built in 2022,"Central, 2 units, electric",Two central,4 Attached garage spaces,,$181 price/sqft,2% buyers agency fee,2060719652
962,Single family residence,Built in 2014,Electric,Gas,2 Attached garage spaces,"7,074 sqft",$159 price/sqft,3.000% buyers agency fee,126259700
963,Single family residence,Built in 1993,"Central, electric, fireplace(s), gas jets","Ceiling fan(s), central air",2 Attached garage spaces,0.33 Acres,$198 price/sqft,3% buyers agency fee,27291973
964,Single family residence,Built in 2001,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,"5,623 sqft",$125 price/sqft,3% buyers agency fee,28547534
965,Single family residence,Built in 2006,"Central, fireplace(s)","Ceiling fan(s), central air",2 Attached garage spaces,0.29 Acres,$114 price/sqft,3.00% buyers agency fee,193034015
966,Condominium,Built in 1967,"Central, natural gas","Central air, electric","Assigned, covered, gated, parking lot, paved",,$400 price/sqft,,29462119
967,Single family residence,Built in 1990,"Central, electric",Central air,2 Garage spaces,"8,189 sqft",$121 price/sqft,3% buyers agency fee,26190563
968,Single family residence,Built in 1960,"Central, electric, fireplace(s)","Ceiling fan(s), central air",2 Garage spaces,0.35 Acres,$205 price/sqft,2.5% buyers agency fee,26784699
969,Single family residence,Built in 1972,"Central, fireplace(s), natural gas","Ceiling fan(s), central air, electric",2 Attached garage spaces,"9,583 sqft",$166 price/sqft,3% buyers agency fee,29190279
970,Single family residence,Built in 1968,"Central, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"10,802 sqft",$140 price/sqft,3% buyers agency fee,26328872
971,Single family residence,Built in 1997,"Central, electric, energy star qualified equipment","Central air, electric, energy star qualified equipment",2 Attached garage spaces,"5,488 sqft",$167 price/sqft,2.5% buyers agency fee,27082664
972,"Single family residence, residential",Built in 1997,Has heating (unspecified type),Central air,"No carport, no garage","9,600 sqft",$120 price/sqft,,52708486
973,Single family residence,Built in 1974,Electric,Electric,2 Attached garage spaces,"5,000 sqft",$401 price/sqft,3% buyers agency fee,26542356
974,Single family residence,Built in 1940,Central,"Central air, electric",2 Garage spaces,0.33 Acres,$122 price/sqft,3.00% buyers agency fee,52063911
975,Single family residence,Built in 1966,"Central, natural gas","Central air, electric",2 Attached garage spaces,0.27 Acres,$178 price/sqft,2.5% buyers agency fee,29108978
976,Condominium,Built in 1985,Electric,Electric,1 Garage space,,$91 price/sqft,2.5% buyers agency fee,2061711954
977,Ranch,Built in 1987,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,0.45 Acres,$150 price/sqft,2.50% buyers agency fee,28039657
978,Single family residence,Built in 1962,"Central, natural gas",Central air,1 Carport space,0.28 Acres,$201 price/sqft,3.00% buyers agency fee,26313562
979,Single family residence,Built in 1970,"Central, natural gas","Ceiling fan(s), central air",1 Attached garage space,"9,583 sqft",$192 price/sqft,3% buyers agency fee,26337441
980,Duplex,Built in 1981,Electric,"Electric, ceiling fan(s)",1 Attached garage space,,$130 price/sqft,3% buyers agency fee,26846480
981,Single family residence,Built in 1973,Natural gas,Electric,3 Garage spaces,0.35 Acres,$163 price/sqft,3% buyers agency fee,28129912
982,Single family residence,Built in 1988,"Central, natural gas",Central air,2 Attached garage spaces,"10,018 sqft",$204 price/sqft,,29439004
983,Ranch,Built in 1976,Electric,"Electric, ceiling fan(s)",2 Attached garage spaces,1.90 Acres,$177 price/sqft,3% buyers agency fee,26521860
984,Single family residence,Built in 2018,"Central, electric",Central air,2 Garage spaces,"9,452 sqft",$157 price/sqft,3% buyers agency fee,250995068
985,Single family residence,Built in 1984,"Central, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"7,274 sqft",$151 price/sqft,3% buyers agency fee,26179944
986,Single family residence,Built in 2000,"Central, propane owned",Central air,2 Garage spaces,2.95 Acres,$175 price/sqft,3% buyers agency fee,26143757
987,Single family residence,Built in 2015,"Central, electric, fireplace(s)","Central air, electric, 1 unit",2 Attached garage spaces,0.29 Acres,$172 price/sqft,3.00% buyers agency fee,220255434
988,Singlefamily,Built in 1959,Central,"Central air, electric","Other, additional parking, alley access","8,886 sqft",$86 price/sqft,2.5% buyers agency fee,75301128
989,Single family residence,Built in 1980,Natural gas,"Electric, ceiling fan(s)",1 Attached garage space,"7,418 sqft",$146 price/sqft,3% buyers agency fee,28275381
990,Single family residence,Built in 1975,"Panel, natural gas",Wall/window unit(s),None,"7,013 sqft",$189 price/sqft,2.5% buyers agency fee,26375124
991,Single family residence,Built in 1995,Natural gas,"Electric, ceiling fan(s)",3 Garage spaces,0.31 Acres,$168 price/sqft,3% buyers agency fee,28530325
992,Single family residence,Built in 1984,Natural gas,"Electric, ceiling fan(s)",2 Garage spaces,0.27 Acres,$175 price/sqft,2.5% buyers agency fee,28464795
993,Single family residence,Built in 1994,"Central, multiple heating units, natural gas","Central air, electric, 2 units",2 Attached garage spaces,"6,751 sqft",$137 price/sqft,3.00% buyers agency fee,78863036
994,Single family residence,Built in 1999,Natural gas,"Electric, ceiling fan(s)",2 Attached garage spaces,No data,$167 price/sqft,3% buyers agency fee,27672217
995,Single family residence,Built in 2019,Natural gas,"Electric, ceiling fan(s)",3 Attached garage spaces,"8,398 sqft",$192 price/sqft,3% buyers agency fee,251272927
996,Single family residence,Built in 1987,Electric,"Ceiling fan(s), electric",1 Attached garage space,"4,617 sqft",$219 price/sqft,3% buyers agency fee,29244828
997,Single family residence,Built in 1982,"Natural gas, zoned","Electric, zoned",3 Attached garage spaces,0.30 Acres,$179 price/sqft,3% buyers agency fee,28427990
998,Single family residence,Built in 1997,"Central, natural gas",Central air,2 Garage spaces,"8,755 sqft",$160 price/sqft,3% buyers agency fee,26159848
999,"Deeded, single family residence",Built in 1967,"Baseboard, hot water",No data,1 Attached garage space,0.35 Acres,$148 price/sqft,2.5% buyers agency fee,2060675926
1000,Multifamily,Built in 1932,No data,No data,No data,,$95 price/sqft,,2061726388
1001,"Single family residence, residential",Built in 1970,"Baseboard, hot water, natural gas",Central air,2 Attached garage spaces,0.32 Acres,$134 price/sqft,2.50% buyers agency fee,32490969
1002,"Single family residence, residential",Built in 1854,"Propane, baseboard, electric, hot water, radiant floor",Window unit(s),2 Garage spaces,5.61 Acres,$192 price/sqft,3% buyers agency fee,124240263
1003,"Single family residence, residential",Built in 1989,"Gas, baseboard, forced air",Central air,2.5 Garage spaces,"10,018 sqft",$182 price/sqft,3% buyers agency fee,31027190
1004,Single family residence,Built in 1930,"Natural gas, gas, hot water",No data,"No garage, circular driveway",1.90 Acres,$180 price/sqft,,32824539
1005,Single family residence,Built in 1927,"Natural gas, baseboard",Wall unit(s),"Private, driveway","4,000 sqft",,,31387426
1006,Singlefamily,Built in 1930,No data,No data,Garage - detached,"2,400 sqft",$176 price/sqft,,2078094339
1007,"Single family residence, residential",Built in 1945,"Propane, forced air, oil",Wall unit(s),1 Garage space,1.20 Acres,$149 price/sqft,2.50% buyers agency fee,32497384
1008,Single family residence,Built in 1930,"Oil, forced air",None,1 Attached garage space,"10,454 sqft",$34 price/sqft,,32783448
1009,Single family residence,Built in 1935,"Natural gas, see remarks",No data,1 Garage space,"5,250 sqft",,,32027675
1010,Singlefamily,Built in 1925,No data,No data,No data,"1,950 sqft",$446 price/sqft,,30662413
1011,Singlefamily,Built in 1905,No data,No data,No data,"2,000 sqft","$1,103 price/sqft",,30664684
1012,"Single family residence, residential",Built in 1988,"Gas, forced air",Central air,2 Garage spaces,0.45 Acres,$192 price/sqft,3% buyers agency fee,30348548
1013,"Single family residence, residential",Built in 1991,"Heat pump, electric, forced air","Heat pump, central air",2 Garage spaces,0.44 Acres,$137 price/sqft,3% buyers agency fee,30990262
1014,Single family residence,Built in 1916,"Natural gas, steam",Window unit(s),"No garage, on street","6,098 sqft",$324 price/sqft,,32990300
1015,Single family residence,Built in 1988,"Electric, baseboard",Ductless,Driveway,1.89 Acres,$218 price/sqft,,63667138
1016,Townhouse,Built in 1869,No data,No data,Garage - attached,No data,,,2111758424
1017,"Single family residence, residential",Built in 1932,"Gas, baseboard",No data,2 Garage spaces,3.10 Acres,$75 price/sqft,3% buyers agency fee,205945883
1018,"Single family residence, residential",Built in 1951,"Forced air, oil",Central air,1 Garage space,6.92 Acres,$72 price/sqft,3.00% buyers agency fee,32431873
1019,Single family residence,Built in 1960,"Natural gas, forced air",Window unit(s),"Private, driveway","8,712 sqft",,,59353105
1020,Single family residence,Built in 2001,"Natural gas, forced air",Central air,2 Attached garage spaces,"5,227 sqft",$333 price/sqft,,59567531
1021,Single family residence,Built in 2005,"Forced air, propane",Central air,Attached garage,1.33 Acres,$251 price/sqft,,71198143
1022,Cooperative,Built in 1962,No data,Central,No data,,$225 price/sqft,,113087202
1023,Single family residence,Built in 1976,"Natural gas, baseboard",None,1 Garage space,"7,000 sqft",$243 price/sqft,,31357075
1024,Single family residence,Built in 1939,"Natural gas, hot water",None,1 Garage space,"5,250 sqft",$449 price/sqft,,31235654
1025,"Single family residence, residential",Built in 1850,"Gas, forced air",No data,No garage,"3,885 sqft",$81 price/sqft,2.75% buyers agency fee,30181140
1026,"Single family residence, residential",Built in 1767,"Radiant floor, forced air",None,2 Garage spaces,0.73 Acres,$84 price/sqft,2.50% buyers agency fee,32242800
1027,"Single family residence, residential",Built in 1962,"Forced air, hot water, natural gas",None,2 Attached garage spaces,0.91 Acres,$147 price/sqft,2.50% buyers agency fee,32418654
1028,Single family residence,Built in 1996,"Propane, baseboard",None,Driveway,5 Acres,$275 price/sqft,,337496303
1029,Single family residence,Built in 1991,"Natural gas, baseboard",None,"Private, driveway","3,342 sqft",,,30639167
1030,"Single family residence, residential",Built in 1956,"Gas, forced air",Central air,2 Garage spaces,0.61 Acres,$207 price/sqft,3% buyers agency fee,30358014
1031,Single family residence,Built in 1966,"Baseboard, oil",Window unit(s),1 Covered parking space,1.80 Acres,$231 price/sqft,2.5% buyers agency fee,30101129
1032,Single family residence,Built in 1928,"Natural gas, baseboard",Wall unit(s),1 Garage space,"10,019 sqft",$326 price/sqft,,59645289
1033,Single family residence,Built in 1947,"Natural gas, radiant",None,2 Garage spaces,"6,000 sqft",$455 price/sqft,,31325563
1034,"Multi family, residential",Built in 1994,"Propane, oil, forced air",No data,2.5 Garage spaces,,$117 price/sqft,3% buyers agency fee,30050185
1035,Stock cooperative,Built in 1949,"Natural gas, hot water",Wall unit(s),"Parking lot, off street",,$437 price/sqft,,2060667248
1036,"Single family residence, residential",Built in 1930,"Gas, forced air",No data,Detached,"3,519 sqft",$106 price/sqft,2.5% buyers agency fee,30161285
1037,"Single family residence, residential",Built in 1900,"Gas, forced air",No data,2 Garage spaces,0.36 Acres,$167 price/sqft,3% buyers agency fee,30813244
1038,"Single family residence, residential",Built in 1952,"Gas, baseboard",No data,1.5 Garage spaces,"5,397 sqft",$146 price/sqft,3% buyers agency fee,30397560
1039,"Single family residence, residential",Built in 1900,"Gas, forced air",Central air,2 Garage spaces,0.60 Acres,$127 price/sqft,3% buyers agency fee,53797318
1040,"Single family residence, residential",Built in 1984,"Baseboard, hot water, oil",None,5 Open parking spaces,2.71 Acres,$98 price/sqft,2.50% buyers agency fee,32252854
1041,Single family residence,Built in 1949,"Oil, forced air",None,1 Garage space,2.90 Acres,$176 price/sqft,,31823356
1042,"Single family residence, residential",Built in 2007,"Baseboard, hot water, oil",Window unit(s),8 Open parking spaces,1.85 Acres,$209 price/sqft,2.50% buyers agency fee,30491965
1043,Singlefamily,Built in 1972,"Forced air, oil",No data,2 Parking spaces,0.32 Acres,$598 price/sqft,,32652732
1044,"Single family residence, residential",Built in 1954,"Gas, forced air",Central air,1 Garage space,"7,200 sqft",$118 price/sqft,3% buyers agency fee,30338805
1045,Single family residence,Built in 1943,"Natural gas, hot water",Central air,1 Attached garage space,"6,000 sqft",,,31222040
1046,"Single family residence, residential",Built in 1973,"Gas, forced air",Central air,2 Garage spaces,0.34 Acres,$135 price/sqft,3% buyers agency fee,30921861
1047,Apartment,Built in 1987,"Other, electric",Units,"No garage, assigned, off street",,$317 price/sqft,,2062760008
